jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts
,2019-07-28 22:59:59,jackdawfactories,Tabled Questions,8,0,2,2019-07-25 23:00:00,https://www.itch.io/jam/tabled-questions,u,71.99972222222222,877,Tabled Questions,0,0,1
,2018-11-27 02:00:00,Soviet,48 Hour Turbo Jam,12,0,2,2018-11-24 02:00:00,https://www.itch.io/jam/48-hour-turbo-jam,u,72.0,1683,48 Hour Turbo Jam,0,0,1
,2019-05-23 16:00:00,Sigrid.D,72LezGameJam#2,6,0,2,2019-05-20 16:00:00,https://www.itch.io/jam/72lezgamejam2,u,72.0,183,72LezGameJam#2,0,0,1
,2017-08-04 06:00:00,Nunuvin,Esoteric Hello World! Jam 2017,6,0,2,2017-08-01 06:00:00,https://www.itch.io/jam/hello-world,u,72.0,1250,Esoteric Hello World! Jam 2017,0,0,1
,2017-05-01 05:00:00,Thomas Shelby,Queer Zine Jam: IDENTITY,6,0,2,2017-04-28 05:00:00,https://www.itch.io/jam/queer-zine-jam-id,u,72.0,449,Queer Zine Jam: IDENTITY,0,0,1
,2017-06-01 18:00:00,Indie Collective||Festival Stunfest,ADDON Jam 2017,6,0,2,2017-05-29 15:00:00,https://www.itch.io/jam/addon-jam-2017,u,75.0,528,ADDON Jam 2017,1,0,2
,2019-07-16 03:59:59,Red Iron Games,Impromptu Game Jam #2,10,0,2,2019-07-12 23:00:00,https://www.itch.io/jam/impromptu-game-jam-2,u,76.99972222222222,504,Impromptu Game Jam #2,0,1,1
,2018-07-23 02:30:00,Sav Emmett Wolfe,Swinburne Winter Game Jam,7,0,2,2018-07-19 14:00:00,https://www.itch.io/jam/swinburne-winter-game-jam,u,84.5,559,Swinburne Winter Game Jam,0,0,1
,2019-04-16 06:59:59,JustKay,April Rainbow Jam 2019,15,0,2,2019-04-12 07:00:00,https://www.itch.io/jam/april-rainbow-jam-2019,u,95.99972222222222,2078,April Rainbow Jam 2019,0,0,1
,2015-06-01 00:00:00,Jóhannes G. Þorsteinsson||Kollafoss Game Farm,Isolation Game Jam 2015,2,0,2,2015-05-28 00:00:00,https://www.itch.io/jam/isolation-game-jam-2015,u,96.0,489,Isolation Game Jam 2015,0,0,2
